Class,Precision,recall,F1_score,Support
 0.0,0.87,0.81,0.84,334
 1.0,0.80,0.80,0.80,334
 2.0,0.68,0.82,0.75,334
 3.0,0.73,0.81,0.77,334
 4.0,0.75,0.77,0.76,334
 5.0,0.74,0.74,0.74,334
 6.0,0.83,0.72,0.77,352
 7.0,0.79,0.69,0.74,347
accuracy,0.77,2703
macro_avg,0.77,0.77,0.77,2703
weighted_avg,0.77,0.77,0.77,2703

