Class,Precision,recall,F1_score,Support
 0.0,0.91,0.95,0.93,347
 1.0,0.97,0.91,0.94,347
 2.0,0.95,0.96,0.96,347
 3.0,0.97,0.89,0.93,347
 4.0,0.96,0.92,0.94,346
 5.0,0.84,0.98,0.90,346
 6.0,0.93,0.91,0.92,363
 7.0,0.94,0.94,0.94,358
accuracy,0.93,2801
macro_avg,0.93,0.93,0.93,2801
weighted_avg,0.93,0.93,0.93,2801

