Class,Precision,recall,F1_score,Support
 0.0,0.97,1.00,0.98,267
 1.0,0.98,0.97,0.98,267
 2.0,0.98,0.97,0.97,269
 3.0,0.99,0.98,0.98,269
 4.0,0.99,0.96,0.98,270
 5.0,0.97,0.99,0.98,270
 6.0,0.96,0.98,0.97,269
 7.0,0.98,0.97,0.97,269
accuracy,0.98,2150
macro_avg,0.98,0.98,0.98,2150
weighted_avg,0.98,0.98,0.98,2150

