Class,Precision,recall,F1_score,Support
 0.0,0.85,0.80,0.82,347
 1.0,0.84,0.81,0.82,347
 2.0,0.76,0.89,0.82,347
 3.0,0.79,0.83,0.81,347
 4.0,0.74,0.86,0.79,346
 5.0,0.76,0.82,0.79,346
 6.0,0.92,0.72,0.80,363
 7.0,0.89,0.75,0.81,358
accuracy,0.81,2801
macro_avg,0.82,0.81,0.81,2801
weighted_avg,0.82,0.81,0.81,2801

