Class,Precision,recall,F1_score,Support
 0.0,0.95,0.96,0.95,352
 1.0,0.92,0.98,0.95,352
 2.0,0.99,0.86,0.92,352
 3.0,0.92,0.97,0.94,352
 4.0,0.79,0.99,0.88,349
 5.0,0.98,0.89,0.94,349
 6.0,0.99,0.83,0.90,367
 7.0,0.94,0.94,0.94,362
accuracy,0.93,2835
macro_avg,0.94,0.93,0.93,2835
weighted_avg,0.94,0.93,0.93,2835

