Class,Precision,recall,F1_score,Support
 0.0,0.97,0.92,0.94,322
 1.0,0.99,0.88,0.93,322
 2.0,0.83,0.97,0.89,324
 3.0,0.88,0.93,0.91,324
 4.0,0.86,0.95,0.90,327
 5.0,0.93,0.96,0.95,327
 6.0,0.95,0.88,0.92,343
 7.0,0.97,0.87,0.92,338
accuracy,0.92,2627
macro_avg,0.92,0.92,0.92,2627
weighted_avg,0.92,0.92,0.92,2627

