Class,Precision,recall,F1_score,Support
 0.0,1.00,0.99,0.99,352
 1.0,0.99,0.99,0.99,352
 2.0,1.00,0.99,1.00,352
 3.0,0.99,1.00,0.99,352
 4.0,0.99,1.00,0.99,349
 5.0,1.00,0.99,1.00,349
 6.0,0.99,0.99,0.99,367
 7.0,0.99,0.99,0.99,362
accuracy,0.99,2835
macro_avg,0.99,0.99,0.99,2835
weighted_avg,0.99,0.99,0.99,2835

