Class,Precision,recall,F1_score,Support
 0.0,0.91,0.95,0.93,322
 1.0,0.94,0.96,0.95,322
 2.0,0.90,0.96,0.93,324
 3.0,0.94,0.95,0.95,324
 4.0,0.97,0.93,0.95,327
 5.0,0.89,0.96,0.93,327
 6.0,0.96,0.92,0.94,343
 7.0,0.98,0.86,0.91,338
accuracy,0.94,2627
macro_avg,0.94,0.94,0.94,2627
weighted_avg,0.94,0.94,0.94,2627

