Class,Precision,recall,F1_score,Support
 0.0,0.88,0.91,0.90,334
 1.0,0.88,0.91,0.90,334
 2.0,0.95,0.89,0.92,334
 3.0,0.93,0.90,0.91,334
 4.0,0.91,0.93,0.92,334
 5.0,0.84,0.93,0.88,334
 6.0,0.92,0.88,0.90,352
 7.0,0.91,0.88,0.90,347
accuracy,0.90,2703
macro_avg,0.90,0.90,0.90,2703
weighted_avg,0.90,0.90,0.90,2703

