Class,Precision,recall,F1_score,Support
 0.0,0.98,0.96,0.97,276
 1.0,0.97,0.91,0.94,276
 2.0,0.98,0.92,0.95,278
 3.0,0.94,0.90,0.92,278
 4.0,0.92,0.94,0.93,282
 5.0,0.83,0.94,0.88,282
 6.0,0.94,0.98,0.96,281
 7.0,0.92,0.94,0.93,281
accuracy,0.93,2234
macro_avg,0.94,0.93,0.93,2234
weighted_avg,0.94,0.93,0.93,2234

