Class,Precision,recall,F1_score,Support
 0.0,0.96,0.98,0.97,267
 1.0,0.97,0.94,0.96,267
 2.0,0.95,0.97,0.96,269
 3.0,0.95,0.96,0.95,269
 4.0,0.97,0.92,0.95,270
 5.0,0.99,0.95,0.97,270
 6.0,0.98,0.99,0.98,269
 7.0,0.92,0.99,0.95,269
accuracy,0.96,2150
macro_avg,0.96,0.96,0.96,2150
weighted_avg,0.96,0.96,0.96,2150

