Class,Precision,recall,F1_score,Support
 0.0,0.88,0.93,0.90,267
 1.0,0.95,0.87,0.91,267
 2.0,0.85,0.89,0.87,269
 3.0,0.91,0.86,0.88,269
 4.0,0.87,0.90,0.89,270
 5.0,0.82,0.94,0.87,270
 6.0,0.95,0.83,0.89,269
 7.0,0.93,0.89,0.91,269
accuracy,0.89,2150
macro_avg,0.89,0.89,0.89,2150
weighted_avg,0.89,0.89,0.89,2150

