Class,Precision,recall,F1_score,Support
 0.0,0.94,0.95,0.95,352
 1.0,0.97,0.93,0.95,352
 2.0,0.94,0.96,0.95,352
 3.0,0.97,0.95,0.96,352
 4.0,0.93,0.95,0.94,349
 5.0,0.93,0.96,0.95,349
 6.0,0.96,0.93,0.95,367
 7.0,0.95,0.96,0.96,362
accuracy,0.95,2835
macro_avg,0.95,0.95,0.95,2835
weighted_avg,0.95,0.95,0.95,2835

