Class,Precision,recall,F1_score,Support
 0.0,0.87,0.89,0.88,276
 1.0,0.73,0.95,0.82,276
 2.0,0.68,0.91,0.78,278
 3.0,0.70,0.85,0.77,278
 4.0,0.90,0.71,0.79,282
 5.0,0.92,0.65,0.76,282
 6.0,0.95,0.74,0.83,281
 7.0,0.93,0.79,0.85,281
accuracy,0.81,2234
macro_avg,0.83,0.81,0.81,2234
weighted_avg,0.83,0.81,0.81,2234

