Class,Precision,recall,F1_score,Support
 0.0,0.91,0.93,0.92,347
 1.0,0.93,0.93,0.93,347
 2.0,0.94,0.84,0.89,347
 3.0,0.91,0.92,0.91,347
 4.0,0.85,0.94,0.89,346
 5.0,0.91,0.92,0.92,346
 6.0,0.92,0.88,0.90,363
 7.0,0.90,0.91,0.90,358
accuracy,0.91,2801
macro_avg,0.91,0.91,0.91,2801
weighted_avg,0.91,0.91,0.91,2801

