Class,Precision,recall,F1_score,Support
 0.0,0.98,0.96,0.97,267
 1.0,0.98,0.94,0.96,267
 2.0,0.96,0.95,0.95,269
 3.0,0.90,0.96,0.93,269
 4.0,0.95,0.93,0.94,270
 5.0,0.96,0.91,0.94,270
 6.0,0.94,0.96,0.95,269
 7.0,0.94,0.97,0.95,269
accuracy,0.95,2150
macro_avg,0.95,0.95,0.95,2150
weighted_avg,0.95,0.95,0.95,2150

