Class,Precision,recall,F1_score,Support
 0.0,0.94,0.94,0.94,352
 1.0,0.93,0.95,0.94,352
 2.0,0.93,0.93,0.93,352
 3.0,0.89,0.95,0.92,352
 4.0,0.92,0.92,0.92,349
 5.0,0.93,0.92,0.93,349
 6.0,0.93,0.91,0.92,367
 7.0,0.95,0.91,0.93,362
accuracy,0.93,2835
macro_avg,0.93,0.93,0.93,2835
weighted_avg,0.93,0.93,0.93,2835

