Class,Precision,recall,F1_score,Support
 0.0,0.90,0.92,0.91,276
 1.0,0.98,0.85,0.91,276
 2.0,0.84,0.94,0.88,278
 3.0,0.97,0.81,0.88,278
 4.0,0.89,0.95,0.92,282
 5.0,0.92,0.94,0.93,282
 6.0,0.88,0.98,0.92,281
 7.0,0.96,0.91,0.94,281
accuracy,0.91,2234
macro_avg,0.92,0.91,0.91,2234
weighted_avg,0.92,0.91,0.91,2234

