Class,Precision,recall,F1_score,Support
 0.0,0.98,0.90,0.94,322
 1.0,0.96,0.92,0.94,322
 2.0,0.91,0.91,0.91,324
 3.0,0.92,0.92,0.92,324
 4.0,0.87,0.94,0.90,327
 5.0,0.90,0.92,0.91,327
 6.0,0.90,0.87,0.89,343
 7.0,0.90,0.94,0.92,338
accuracy,0.92,2627
macro_avg,0.92,0.92,0.92,2627
weighted_avg,0.92,0.92,0.92,2627

