Class,Precision,recall,F1_score,Support
 0.0,0.98,0.96,0.97,305
 1.0,0.97,0.94,0.96,305
 2.0,0.96,0.96,0.96,302
 3.0,0.97,0.94,0.95,302
 4.0,0.94,0.96,0.95,308
 5.0,0.95,0.96,0.95,308
 6.0,0.95,0.98,0.96,320
 7.0,0.95,0.97,0.96,320
accuracy,0.96,2470
macro_avg,0.96,0.96,0.96,2470
weighted_avg,0.96,0.96,0.96,2470

