Class,Precision,recall,F1_score,Support
 0.0,0.92,0.89,0.91,347
 1.0,0.92,0.89,0.91,347
 2.0,0.91,0.89,0.90,347
 3.0,0.88,0.91,0.90,347
 4.0,0.84,0.89,0.87,346
 5.0,0.86,0.87,0.86,346
 6.0,0.87,0.89,0.88,363
 7.0,0.90,0.86,0.88,358
accuracy,0.89,2801
macro_avg,0.89,0.89,0.89,2801
weighted_avg,0.89,0.89,0.89,2801

