Class,Precision,recall,F1_score,Support
 0.0,0.59,0.77,0.66,334
 1.0,0.73,0.72,0.73,334
 2.0,0.75,0.57,0.65,334
 3.0,0.69,0.69,0.69,334
 4.0,0.58,0.75,0.65,334
 5.0,0.65,0.70,0.67,334
 6.0,0.80,0.54,0.64,352
 7.0,0.74,0.67,0.70,347
accuracy,0.68,2703
macro_avg,0.69,0.68,0.68,2703
weighted_avg,0.69,0.68,0.68,2703

